trial,name,status,best_iteration,training_seconds,train_pr_auc,validation_pr_auc,validation_roc_auc,validation_recall_at_top_10pct,validation_lift_at_top_10pct,train_validation_pr_auc_gap,params_json
1,d5_fast,completed,106,8.35985459999938,0.22927476926200532,0.1731789432039256,0.6614574306599746,0.2210419828022256,2.2101149425287354,0.05609582605807972,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 5, ""learning_rate"": 0.07, ""l2_leaf_reg"": 3.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
2,d6_balanced,completed,69,7.795853799994802,0.23636033197910966,0.17472225968966423,0.6557136585144948,0.2276176024279211,2.2758620689655173,0.06163807228944543,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.05, ""l2_leaf_reg"": 5.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
3,d7_baseline_like,completed,60,8.410890799998015,0.24573292310898354,0.17697159563513104,0.6617062582879646,0.22812341932220537,2.2809195402298847,0.0687613274738525,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.05, ""l2_leaf_reg"": 5.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
4,d8_slow_regularized,completed,90,11.553358299999672,0.2561311680710017,0.1762369643008519,0.6598489994573405,0.2271117855336368,2.2708045977011495,0.07989420377014983,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 8, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
5,d6_high_border,completed,38,6.731764100004511,0.2331416324788034,0.17535549934949596,0.6493945420387056,0.23115832068791098,2.311264367816092,0.05778613312930744,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.07, ""l2_leaf_reg"": 8.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.5, ""border_count"": 254}"
6,d7_low_lr,completed,82,9.463191700000607,0.24469781643010405,0.17610690703596263,0.6605195074668756,0.22610015174506828,2.260689655172414,0.06859090939414142,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12.0, ""random_strength"": 0.25, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 254}"
7,d5_strong_reg,completed,89,7.42595430000074,0.232249610783825,0.1773024857435879,0.6604541376052218,0.2291350531107739,2.2910344827586204,0.054947125040237105,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 5, ""learning_rate"": 0.05, ""l2_leaf_reg"": 15.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.0, ""border_count"": 128}"
8,d8_low_lr,completed,175,15.630149399999937,0.25326925063868716,0.17648398791035846,0.6623912218637753,0.2321699544764795,2.3213793103448275,0.0767852627283287,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 8, ""learning_rate"": 0.02, ""l2_leaf_reg"": 20.0, ""random_strength"": 0.75, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.5, ""border_count"": 254}"
9,d6_small_border,completed,120,9.71860210000159,0.2365259008168451,0.17843633239638007,0.6604078158304569,0.22610015174506828,2.260689655172414,0.05808956842046503,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.04, ""l2_leaf_reg"": 3.0, ""random_strength"": 0.25, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 64}"
10,d7_noisy,completed,32,7.592276600000332,0.23444861873278333,0.1728533573577387,0.6513144715057763,0.23318158826504806,2.331494252873563,0.06159526137504462,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.06, ""l2_leaf_reg"": 8.0, ""random_strength"": 1.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 254}"
11,d6_bernoulli,completed,98,8.855452900003002,0.234336099766287,0.17542198261345543,0.6561395604330938,0.2240768841679312,2.2404597701149425,0.05891411715283157,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.05, ""l2_leaf_reg"": 8.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bernoulli"", ""subsample"": 0.8, ""border_count"": 128}"
