u,v,key,osmid,highway,ref,oneway,reversed,length,geometry,name,lanes,maxspeed,junction
364098959,1916798157,0,1281941356,secondary,,False,False,263.83430628617856,"LINESTRING (51.1644016 43.6528466, 51.1647433 43.6524981, 51.1663229 43.6509238)",,,,
364098967,364098973,0,32343675,tertiary,,False,False,288.92705082782993,"LINESTRING (51.1649339 43.6531285, 51.1628195 43.6552288)",,,,
364098967,364098959,0,32343857,residential,,False,True,53.07141637132571,"LINESTRING (51.1649339 43.6531285, 51.1644016 43.6528466)",,,,
364098973,364098967,0,32343675,tertiary,,False,True,288.92705082782993,"LINESTRING (51.1628195 43.6552288, 51.1649339 43.6531285)",,,,
364098973,364102431,0,32343673,tertiary,,False,False,225.40723826565326,"LINESTRING (51.1628195 43.6552288, 51.1642044 43.6559493, 51.1649904 43.6563583, 51.1650972 43.6564092)",,,,
364098973,521806568,0,32343675,tertiary,,False,False,609.4926733094793,"LINESTRING (51.1628195 43.6552288, 51.1617339 43.6563181, 51.1612052 43.6568486, 51.1605999 43.657456, 51.1604963 43.6575654, 51.1596596 43.6583996, 51.1591925 43.6588682, 51.1590948 43.6589275, 51.1588172 43.6590274, 51.1579782 43.6593293)",,,,
364098982,1978435285,0,27327276,tertiary,,False,True,118.16958134551021,"LINESTRING (51.1720488 43.660032, 51.172875 43.6591533)",,,,
364098982,1978435289,0,32343673,tertiary,,False,True,160.4389872978722,"LINESTRING (51.1720488 43.660032, 51.1704306 43.6591886)",,,,
364098982,3333891772,0,27327276,tertiary,,False,False,398.28727347259803,"LINESTRING (51.1720488 43.660032, 51.1716845 43.6603979, 51.1714007 43.660683, 51.1704068 43.6616928, 51.1702729 43.6618325, 51.1697267 43.6623852, 51.1691751 43.6629488)",,,,
364098982,364098987,0,32343673,tertiary,,False,False,191.91180185615124,"LINESTRING (51.1720488 43.660032, 51.1731404 43.6605983, 51.1734505 43.6607596, 51.1739845 43.6610408)",,,,
364098987,364098982,0,32343673,tertiary,,False,True,191.91180185615121,"LINESTRING (51.1739845 43.6610408, 51.1734505 43.6607596, 51.1731404 43.6605983, 51.1720488 43.660032)",,,,
364098987,4190977840,0,32343676,secondary,,False,False,353.5749896039602,"LINESTRING (51.1739845 43.6610408, 51.1745295 43.6604967, 51.175051 43.6599628, 51.1753335 43.6596772, 51.1753792 43.659631, 51.1765426 43.6584551)",,,,
364098987,299977783,0,101388131,secondary,,False,False,283.67565639815734,"LINESTRING (51.1739845 43.6610408, 51.1736543 43.6613894, 51.1736103 43.6614359, 51.1732643 43.661879, 51.1731302 43.6621636, 51.173094 43.6623199, 51.17307 43.6624234, 51.1730639 43.6628945, 51.173107 43.6632458, 51.1731285 43.6634205)",,,,
364098987,4163187348,0,415281014,residential,,False,False,203.25125775059652,"LINESTRING (51.1739845 43.6610408, 51.1742996 43.6611924, 51.1757292 43.6619404, 51.1761128 43.6619521)",,,,
364099010,1978435270,0,27327276,tertiary,,False,False,185.7060320531123,"LINESTRING (51.1748335 43.6571753, 51.1734898 43.6585333)",,,,
364099010,1978434931,0,32343678,tertiary,,False,False,303.2341630705342,"LINESTRING (51.1748335 43.6571753, 51.1760094 43.6560029, 51.1762049 43.655808, 51.17656 43.6554519, 51.1766304 43.6553816, 51.1769075 43.655105, 51.1770129 43.6549529)",,,,
364099010,253059786,0,119417653,secondary,KR-3,False,False,187.85466103400773,"LINESTRING (51.1748335 43.6571753, 51.175671 43.6574955, 51.1758738 43.6575777, 51.1760491 43.6576401, 51.1769477 43.6578846)",Сәтбаев көшесі,,,
364099010,521806604,0,593686445,secondary,KR-3,False,True,551.7281257863392,"LINESTRING (51.1748335 43.6571753, 51.1739677 43.6566561, 51.1737859 43.6565457, 51.1734693 43.6563022, 51.1730898 43.6559638, 51.1728279 43.6557111, 51.1724263 43.6553279, 51.1723607 43.6552653, 51.172301 43.6552106, 51.1719367 43.6548763, 51.1714006 43.6543736, 51.1712761 43.6542569, 51.1711151 43.654106, 51.1703867 43.653423)",Сәтбаев көшесі,,,
364099026,1978434931,0,32343678,tertiary,,False,True,369.04197831722126,"LINESTRING (51.1786245 43.6518735, 51.1782304 43.6522949, 51.1780795 43.6524956, 51.1779584 43.6527106, 51.1778435 43.6529808, 51.1777219 43.6533293, 51.1776261 43.6536036, 51.1773877 43.6542868, 51.1771848 43.6546837, 51.1770129 43.6549529)",,,,
364099026,521806689,0,499457380,tertiary,,False,False,338.5116679681747,"LINESTRING (51.1786245 43.6518735, 51.1788867 43.6516059, 51.1793942 43.6511229, 51.1805683 43.6500054, 51.1806417 43.6499293, 51.1811263 43.6494265)",,,,
364099026,521806683,0,1385919912,tertiary,,False,False,256.6634809181434,"LINESTRING (51.1786245 43.6518735, 51.1784311 43.6517727, 51.1771597 43.6511101, 51.176036 43.6505244)",улица Нефтянников,4,,
364099039,2929076359,0,32343679,tertiary,,False,False,264.85672746769745,"LINESTRING (51.1741831 43.6495585, 51.1731993 43.6490443, 51.1730134 43.6489465, 51.1727625 43.6488155, 51.1715151 43.6481633)",улица Нефтянников,4,,
364099039,521806683,0,"[1385919912, 32343679]",tertiary,,False,True,183.73949502651945,"LINESTRING (51.1741831 43.6495585, 51.1748354 43.6498985, 51.1756383 43.6503161, 51.176036 43.6505244)",улица Нефтянников,4,,
364099039,521806604,0,"[42036562, 500324679]",unclassified,,False,False,527.2486722781592,"LINESTRING (51.1741831 43.6495585, 51.1735088 43.6502557, 51.1734932 43.6502723, 51.1734541 43.6503121, 51.1728494 43.6509357, 51.1721794 43.6516141, 51.1719801 43.651801, 51.1712173 43.6525949, 51.1711094 43.6527, 51.171015 43.6527919, 51.1708803 43.6529231, 51.1703867 43.653423)",23 микрорайон,,,
364099042,2198072358,0,32343680,tertiary,,False,False,176.07208957533228,"LINESTRING (51.1674838 43.6460434, 51.1674567 43.646123, 51.1674458 43.6462169, 51.1674338 43.646846, 51.1674307 43.6471769, 51.1674345 43.6473888, 51.1674274 43.647624)",,2,,
364099042,2689815229,0,415472524,tertiary,,False,False,229.89267065362648,"LINESTRING (51.1674838 43.6460434, 51.1675569 43.6459351, 51.1679676 43.6454951, 51.168952 43.6444917, 51.1690834 43.6443325)",,,,
364099042,2198072505,0,499457363,tertiary,,False,False,158.14692676177532,"LINESTRING (51.1674838 43.6460434, 51.1666717 43.6456358, 51.1658765 43.6452249)",улица Нефтянников,4,,
364099042,521806563,0,579263327,tertiary,,False,True,235.81616545808072,"LINESTRING (51.1674838 43.6460434, 51.1685147 43.646578, 51.1698484 43.6472962)",улица Нефтянников,4,,
364099116,4897123863,0,498255581,tertiary,,True,False,9.90987409432274,"LINESTRING (51.1649686 43.6395686, 51.1650674 43.6396218)",улица Юбилейная,2,,
364099116,364099138,0,42036538,tertiary,,False,False,48.27523948483632,"LINESTRING (51.1649686 43.6395686, 51.1648937 43.63953, 51.1647668 43.6394646, 51.16448 43.6393167)",улица Юбилейная,2,,
364099116,8164400613,0,1281941360,secondary,,True,False,78.76320012835005,"LINESTRING (51.1649686 43.6395686, 51.1653589 43.6391727, 51.165514 43.6390154, 51.1655371 43.638992)",проспект президента Республики Казахстан,2,,
